source,title,authors,year,doi,url
IEEE Xplore,Preserving the Veracity of Digital Media using Neural Network Based Detection of Deepfake Videos,P. Bire; O. Ambalkar; R. Bagade; P. Mehta; A. Yenkikar,2024,10.1109/ICBDS61829.2024.10837046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10837046
IEEE Xplore,DDEM: Deepfake Detection Enhanced Model for Image Forgery Detection Combat Academic Misconduct,J. Ding; J. Liu; J. Shi; X. Hu; X. Qiao; H. E,2024,10.1109/BESC64747.2024.10780724,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780724
IEEE Xplore,Implementation of Robust Deepfake Detection via 3D Residual Attention Densenet with Pyramid Dilation Network,T. Rajesh; S. Maruthuperumal,2025,10.1109/ICSCSA66339.2025.11171276,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11171276
IEEE Xplore,Deepfake Detection using Multi-Stream Convolutional Neural Networks with Attention-based Fusion,M. Sankaran; M. Alwbaidy; L. K. R; S. D. Govardhan; P. P. Selvam,2025,10.1109/ICICNCT66124.2025.11232837,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11232837
IEEE Xplore,Voices of Deception - Detecting AI-Synthesized Speech Using Spectrotemporal Features and Hybrid Learning Models,K. Vaghchhipawala; P. Nadkarni; A. Pai; A. Trivedi; S. Bollavarapu,2025,10.1109/INDISCON66021.2025.11252158,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11252158
IEEE Xplore,Identifying Machine Generated Tweets: Deepfake Detection on Social Media,N. F. Shrene Shifna; K. Baalaji; P. Niharika; P. Swathi; P. R. Krishna; R. Leena,2024,10.1109/DELCON64804.2024.10866921,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10866921
IEEE Xplore,AI-Manipulated Reality: Generation and Detection of Deepfake Content,B. A. Csanky; S. A. Laczi; V. Póser,2025,10.1109/SACI66288.2025.11030130,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11030130
IEEE Xplore,Hybrid Federated Deepfake Detection via Residual-Aware Temporal Modeling and Privacy-Preserving Learning,A. Bhatnagar; R. C. Pandey; V. Vishal; A. Singh,2025,10.1109/ACROSET66531.2025.11280626,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280626
IEEE Xplore,Improving DeepFake Video Detection Performance with a Noval Deep Learning Approach,M. A. Fouda; W. El-Shafai; E. -S. M. El-Rabaie,2023,10.1109/ICEEM58740.2023.10319524,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10319524
IEEE Xplore,AI/ML-Based Solution for Detecting Face-Swap Deepfakes,S. S. Patil; A. M; P. M; P. P. C,2025,10.1109/ICETI4T63625.2025.11132146,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132146
IEEE Xplore,Emerging Innovations in Deep Learning for Video DeepFake Detection: A Comprehensive Review,M. K. Makwana; D. K. Singh; S. Shukla,2025,10.1109/ICSADL65848.2025.10933018,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10933018
IEEE Xplore,DeepShield: AI-Powered Deepfake Detection,S. Sharma; K. Gupta,2025,10.1109/CONIT65521.2025.11167853,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167853
IEEE Xplore,Deepfake Detection Using Advanced Learning Frameworks and Benchmark Evaluation,M. B; J. N; N. P; T. J; T. Mohapatra,2025,10.1109/ICCCNP63914.2025.11233705,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11233705
IEEE Xplore,Deepfake Detection Using EfficientNet and XceptionNet,B. Yasser; J. Hani; S. El-Gayar; O. Amgad; N. Ahmed; H. M. Ebied; H. Amr; M. Salah,2023,10.1109/ICICIS58388.2023.10391114,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10391114
IEEE Xplore,Deepfake Detection for Enhanced Security in Workplace Environments Using Deep Learning Techniques,M. Asaduzzaman; M. M. Hassan; T. Bhuiyan,2025,10.1109/ICICT64582.2025.00033,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11058521
IEEE Xplore,A Comprehensive Review of Deepfake Detection In Advanced Neural Network Architectures and Deep Learning Strategies,D. Singh; P. Singh; R. Bhandari,2024,10.1109/GlobalAISummit62156.2024.10947978,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10947978
IEEE Xplore,Scene and Texture Based Feature Set for DeepFake Video Detection,A. N. Ramkissoon; V. Rajamanickam; W. Goodridge,2022,10.1109/ICDMW58026.2022.00021,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10029383
IEEE Xplore,Comparative Analyais of CNN Architectures for Deep Fake Detection,P. Wani; S. Chavan; S. Paithankar; D. Ghusse; S. Barve,2025,10.1109/ISACC65211.2025.10969171,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10969171
IEEE Xplore,Decoding Voice Authenticity: An Exploration of Deep Learning and Audio Feature Techniques,S. T. Yalla; M. G. P. Raju; D. Nagaraju; M. F. Ali,2025,10.1109/IDCIOT64235.2025.10914906,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10914906
IEEE Xplore,Deepfake Content Detection using Deep Learning Techniques,H. Devarajan; I. S. V. Palli; A. Ahammed; H. R. Kolagatla,2025,10.1109/ICSSAS66150.2025.11081378,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11081378
IEEE Xplore,A Computer Vision Model to Identify Deepfakes to Combat Misinformation During Political Events,A. Narayan; S. Fox,2024,10.1109/UPCON62832.2024.10983603,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10983603
IEEE Xplore,Preventing DeepFake Attacks on Speaker Authentication by Dynamic Lip Movement Analysis,C. -Z. Yang; J. Ma; S. Wang; A. W. -C. Liew,2021,10.1109/TIFS.2020.3045937,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9298826
IEEE Xplore,Interactive Two-Stream Network Across Modalities for Deepfake Detection,J. Wu; B. Zhang; Z. Li; G. Pang; Z. Teng; J. Fan,2023,10.1109/TCSVT.2023.3269841,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10107603
IEEE Xplore,Deepfake Video Detection Methods using Deep Neural Networks,M. Kshirsagar; S. Suratkar; F. Kazi,2022,10.1109/ICICICT54557.2022.9917701,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9917701
IEEE Xplore,Temporal surface frame anomalies for deepfake video detection,A. Ciamarra; R. Caldelli; A. D. Bimbo,2024,10.1109/CVPRW63382.2024.00388,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10678101
IEEE Xplore,Deepfake Detection on Videos Based on Ratio Images,R. L. Testa; A. Machado-Lima; F. L. S. Nunes,2022,10.1109/IIAIAAI55812.2022.00086,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894567
IEEE Xplore,Deepfake Video Detection Using Spatiotemporal Convolutional Network and Photo Response Non Uniformity,S. J. Pipin; R. Purba; M. F. Pasha,2022,10.1109/ICOSNIKOM56551.2022.10034890,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034890
IEEE Xplore,Deepfake Detection using GAN Discriminators,S. A. Aduwala; M. Arigala; S. Desai; H. J. Quan; M. Eirinaki,2021,10.1109/BigDataService52369.2021.00014,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9564096
IEEE Xplore,Leveraging Acoustic Features and Deep Neural Architectures for Audio Deepfake Detection,V. Sundaram; B. S; S. Vekkot,2024,10.1109/ICACC63692.2024.10845392,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10845392
IEEE Xplore,Improving Generalization of Deepfake Detection With Data Farming and Few-Shot Learning,P. Korshunov; S. Marcel,2022,10.1109/TBIOM.2022.3143404,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9684526
IEEE Xplore,DeepFake Image Detection Using Adaptive Discriminator Augmentation (ADA),D. A. Talib; A. A. Abed,2023,10.1109/ICONNIC59854.2023.10467610,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467610
IEEE Xplore,CNN based Deep Learning model for Deepfake Detection,V. Jolly; M. Telrandhe; A. Kasat; A. Shitole; K. Gawande,2022,10.1109/ASIANCON55314.2022.9908862,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9908862
IEEE Xplore,Comparative Analysis and Evaluation of CNN Models for Deepfake Detection,P. Ritter; D. Lucian; Anderies; A. Chowanda,2023,10.1109/AiDAS60501.2023.10284611,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10284611
IEEE Xplore,A Robust Deepfake Video Detection Method based on Continuous Frame Face-swapping,D. Liu; Z. Yang; R. Zhang; J. Liu,2022,10.1109/AIIPCC57291.2022.00048,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10070215
IEEE Xplore,"Visual Deepfake Detection: Review of Techniques, Tools, Limitations, and Future Prospects",N. Ur Rehman Ahmed; A. Badshah; H. Adeel; A. Tajammul; A. Daud; T. Alsahfi,2025,10.1109/ACCESS.2024.3523288,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10816641
IEEE Xplore,FakeFormer: Transformer-Based Lightweight Deepfake Video Detection Model,X. Wang; G. Zhong; Q. Song,2025,10.1109/ISEAE64934.2025.11042069,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11042069
IEEE Xplore,Swin-BiLSTM with Attention for Face Swap Detection in Deepfake Videos,N. F. Lukitania; V. Suryani,2025,10.1109/ICoICT66265.2025.11192953,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11192953
IEEE Xplore,Guardian AI: Synthetic Media Forensics through Multimodal Fusion and Advanced Machine Learning,K. K; S. R; D. S; D. S,2024,10.1109/ICC-ROBINS60238.2024.10533980,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10533980
IEEE Xplore,Neuro-Behavioral Deepfake Detection: Leveraging Human Micro-Expression Analysis for High-Precision Forgery Identification,T. N. Kumar; A. GV; A. D; G. P; J. S,2025,10.1109/ICIMIA67127.2025.11200578,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11200578
IEEE Xplore,Deepfake Facial Recognition for Video Clips,Adarsh; N. Bhaal; G. Padmapriya,2024,10.1109/PICET60765.2024.10716129,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10716129
IEEE Xplore,MRE-Net: Multi-Rate Excitation Network for Deepfake Video Detection,G. Pang; B. Zhang; Z. Teng; Z. Qi; J. Fan,2023,10.1109/TCSVT.2023.3239607,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10025759
IEEE Xplore,DefakeHop: A Light-Weight High-Performance Deepfake Detector,H. -S. Chen; M. Rouhsedaghat; H. Ghani; S. Hu; S. You; C. . -C. Jay Kuo,2021,10.1109/ICME51207.2021.9428361,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9428361
IEEE Xplore,Forensics and Analysis of Deepfake Videos,M. T. Jafar; M. Ababneh; M. Al-Zoube; A. Elhassan,2020,10.1109/ICICS49469.2020.239493,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9078989
IEEE Xplore,Using Deep Learning to Detecting Deepfakes,J. Mallet; R. Dave; N. Seliya; M. Vanamala,2022,10.1109/ISCMI56532.2022.10068449,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10068449
IEEE Xplore,A Spatio- Temporl Deepfake Video Detection Method Based on TimeSformer-CNN,Z. Chen; S. Wang; D. Yan; Y. Li,2024,10.1109/ICDCECE60827.2024.10549278,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10549278
IEEE Xplore,Implementation of Deep Learning Method for Forgery Detection on Social Media,A. Kohapare; K. Dhongade; R. Sukare; P. Maidamwar,2024,10.1109/IDCIoT59759.2024.10467237,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10467237
IEEE Xplore,Preserving Integrity: A Binary Classification Approach to Unmasking Artificially Generated Voices in the Age of Deepkakes,V. Kumar; A. Kapoor; R. R. Chaudhary; L. Gupta; D. Khokhar,2024,10.23919/INDIACom61295.2024.10499177,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10499177
IEEE Xplore,Fooling the Forgers: A Multi-Stage Framework for Audio Deepfake Detection,G. S. Kashyap; Z. H. Siddiqui; M. A. Azeez; R. Ali; S. Kumar; N. Kamuni; J. Gao,2025,10.1109/ICASSP49660.2025.10888175,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10888175
IEEE Xplore,Comprehensive Analysis of Deepfake Detection Models,M. Khatoon; C. Jaiswal; S. Sokhi; T. Tripathi; U. A. Jogalekar; R. Agrawal,2025,10.1109/ICETI4T63625.2025.11132138,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132138
IEEE Xplore,Improving Fairness in Synthetic Speech Detectors,A. K. Singh Yadav; K. Bhagtani; P. Bestagini; E. J. Delp,2024,10.1109/IEEECONF60004.2024.10942853,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10942853
IEEE Xplore,Deepfaceguard: A Lightweight CNN Framework for Robust Face Manipulation Detection,M. Tauseef; L. S. Viji; J. Fenwick,2025,10.1109/NMITCON65824.2025.11188219,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11188219
IEEE Xplore,Deepfake Circumvention Using Machine Learning,M. S; R. D; S. J. A; S. G; A. M,2024,10.1109/ICPECTS62210.2024.10780152,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10780152
IEEE Xplore,Real-Time Deepfake Video Detection using Machine Learning: A CNN-based Authentication Framework,S. Babitha; Y. K; D. H. J. V; H. J,2025,10.1109/ICAISS61471.2025.11041947,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11041947
IEEE Xplore,Deepfake Voice Detection: Countering Deepfake Audio with Deep Learning Architectures,K. K. Ko; S. Wai Wai Tun; M. T. Kyaw; T. Thet Zin,2025,10.1109/ICAIT68809.2025.11236771,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11236771
IEEE Xplore,Detection of Real and Manipulated Videos using the Transfer Learning Approach of Deep-Learning Models,B. R. Reddy; D. C. Rup; M. Rohith; M. Belwal,2024,10.1109/GCAT62922.2024.10924003,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10924003
IEEE Xplore,Blockchain Based Deepfake Video Detection Using Deep Learning,B. Colaco; B. Patil; S. Gharat; S. Gawande,2025,10.1109/ICETI4T63625.2025.11132246,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11132246
IEEE Xplore,Deepfake Generation and Detection: Case Study and Challenges,Y. Patel; S. Tanwar; R. Gupta; P. Bhattacharya; I. E. Davidson; R. Nyameko; S. Aluvala; V. Vimal,2023,10.1109/ACCESS.2023.3342107,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10354308
IEEE Xplore,FSSPOTTER: Spotting Face-Swapped Video by Spatial and Temporal Clues,P. Chen; J. Liu; T. Liang; G. Zhou; H. Gao; J. Dai; J. Han,2020,10.1109/ICME46284.2020.9102914,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9102914
IEEE Xplore,Dynamic Lip Motion Analysis for Deepfake Detection,A. Castiglione; L. Cimmino; V. Loia; M. Nappi; C. Sorrentino,2025,10.1109/CSCS66924.2025.00073,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181647
IEEE Xplore,CIPHER: Counterfeit Image Pattern High-level Examination via Representation for GAN and Diffusion Discriminator Learning,K. Kim; Y. Han; S. Ju; Y. Jean; Y. Kim; M. Choi; S. Lim; K. Park; S. Baek; S. Hyeon; N. -J. Kim; H. -J. Lee,2025,10.1109/ICCE-Asia67487.2025.11263770,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11263770
IEEE Xplore,Spatiotemporal Deepfake Video Detection: A Hybrid CNN-Transformer Approach with Frequency Analysis,N. Celebi; Q. Liu,2025,10.1109/IRI66576.2025.00048,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11153098
IEEE Xplore,Navigating Deepfakes with Data Science: A Multi-Modal Analysis and Blockchain-Based Detection Framework,S. Patil; A. Bhat; N. Jain; V. Javalkar,2025,10.1109/ICPCT64145.2025.10940229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940229
IEEE Xplore,Hybrid Deepfake Detection Using ResNet50 and Vision Transformer for Enhanced Feature Extraction,A. Naitali; M. Ridouani; F. Salahdine; N. Kaabouch,2025,10.1109/ICOA66896.2025.11236531,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11236531
IEEE Xplore,The Growing Need for Deepfakes Detection in the Age of AI-Generated Media,P. Badoni; M. S. Dildar; M. N. Ahmed; A. S. Zamani; M. R. Hussain; M. Wadhwa,2025,10.1109/ICETETSIP64213.2025.11156944,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11156944
IEEE Xplore,"A Review on Deepfake Image Detection Approaches, Techniques and Methods",J. C. Ng; M. B. Jasser; B. Issa; S. -S. M. Ajibade; H. N. Chua,2025,10.1109/I2CACIS65476.2025.11100461,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11100461
IEEE Xplore,Dual Acoustic Feature Fusion for Enhanced Audio Deepfake Detection Using VGG-16 Architecture: Mitigating Speech Tampering with MFCC and ELTP,C. Ahmadi; S. -H. Wang; S. -P. Chiu; J. -L. Chen,2024,10.1109/RIVF64335.2024.11009070,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11009070
IEEE Xplore,Deep Fake Detection with Hybrid Activation Function Enabled Adaptive Milvus Optimization-Based Deep Convolutional Neural Network,H. Mashetty; N. Erukulla; S. Belidhe; N. Jella; V. r. Pishati; B. K. Enesheti,2025,10.1109/ICMCSI64620.2025.10883193,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10883193
IEEE Xplore,Deepfake Image Detection using Deep Learning,A. K. S; A. K. M; R. R. Vincent; U. U. Hegde; A. M. S; N. N. Pasha,2025,10.1109/AIDE64228.2025.10987437,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10987437
IEEE Xplore,Deepfake Video Detection: A Comprehensive Survey of Advanced Machine Learning and Deep Learning Techniques to Combat Synthetic Video Manipulation,T. Anusha; A. Srinagesh,2025,10.1109/ICMSCI62561.2025.10894187,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10894187
IEEE Xplore,CombinedNet: A Hybrid Model for Deepfake Audio Detection Using Deep Learning Techniques,V. Gattulli; D. Impedovo,2025,10.1109/IJCNN64981.2025.11229182,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11229182
IEEE Xplore,Near Real-Time Deepfake Audio Detection based on Speaker Diarization Techniques,M. K. Zahur Bajwa; C. Negru; B. -C. Mocanu; A. Castiglione; C. Pero,2025,10.1109/CSCS66924.2025.00067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11181580
IEEE Xplore,DeepViT-Detect: A Deep Vision Transformer-Based Approach for Robust Deepfake Video Detection,V. K. R. Mannepalli; V. K. Kondra; J. P. Gourabathuni,2025,10.1109/ICIMIA67127.2025.11200731,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11200731
IEEE Xplore,Detecting Cross-domain Deepfake Videos with Contrastive Prototype Learning,Y. Li; P. Angelov,2025,10.1109/IJCNN64981.2025.11227763,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11227763
IEEE Xplore,Benchmarking Audio Deepfake Detection Robustness in Real-World Communication Scenarios,H. Shi; X. Shi; S. Dogan; S. Alzubi; T. Huang; Y. Zhang,2025,10.23919/EUSIPCO63237.2025.11226601,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11226601
IEEE Xplore,A CNN Algorithm Based DeepFake Detection System,S. M. Mangalampalli; M. J. Mistry; A. M. Pal; J. Pereira,2025,10.23919/INDIACom66777.2025.11115232,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11115232
IEEE Xplore,A Deep Learning Framework for the Detection of Deepfake Audio,Z. Rasheed; H. Albarakaty; H. Almutairi; J. Alhuzali; H. Al-Mabadi; H. Himdi; F. Alhayan; K. Shaalan,2025,10.1109/ICBATS66542.2025.11258404,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11258404
IEEE Xplore,DeepFake Creation and Detection:A Survey,S. P; S. Sk,2021,10.1109/ICIRCA51532.2021.9544522,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9544522
IEEE Xplore,Advancing Deepfake Detection: An Optimized Neural Network Model with Keyframe Analysis,F. T. Tarannom Esty,2025,10.1109/NCIM65934.2025.11160287,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11160287
IEEE Xplore,UniForensics: Face Forgery Detection via General Facial Representation,Z. Fang; H. Zhao; T. Wei; W. Zhou; M. Wan; Z. Wang; W. Zhang; N. Yu,2025,10.1109/TDSC.2025.3627420,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11250851
IEEE Xplore,MINTIME: Multi-Identity Size-Invariant Video Deepfake Detection,D. A. Coccomini; G. K. Zilos; G. Amato; R. Caldelli; F. Falchi; S. Papadopoulos; C. Gennaro,2024,10.1109/TIFS.2024.3409054,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10547206
IEEE Xplore,Deepfake Image Detection Using Yolov8,P. Sathe; V. Sabane; C. Undale; A. Uttarkar; V. Chavhan; N. P. Sable; A. Yenkikar,2024,10.1109/PuneCon63413.2024.10895706,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10895706
IEEE Xplore,Exploiting spatiotemporal inconsistencies to detect deepfake videos in the wild,A. Khedkar; A. Peshkar; A. Nagdive; M. Gaikwad; S. Baudha,2022,10.1109/ICETET-SIP-2254415.2022.9791719,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9791719
IEEE Xplore,Benchmarking Joint Face Spoofing and Forgery Detection With Visual and Physiological Cues,Z. Yu; R. Cai; Z. Li; W. Yang; J. Shi; A. C. Kot,2024,10.1109/TDSC.2024.3352049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387780
IEEE Xplore,WaveDIF: Wavelet Sub-Band based Deepfake Identification in Frequency Domain,A. Dutta; A. K. Das; R. Naskar; R. S. Chakraborty,2025,10.1109/CVPRW67362.2025.00627,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148061
IEEE Xplore,Within 3DMM Space: Exploring Inherent 3D Artifact for Video Forgery Detection,C. Peng; T. Xu; D. Liu; N. Wang; X. Gao,2025,10.1109/TIFS.2025.3592557,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095790
IEEE Xplore,Leveraging Spatial-Temporal Illumination Features and Convolution-Transformer Hybrid Networks for Deepfake Video Detection,G. Zhang; Y. Liang; K. Tian; J. Yi; H. Alsolai; M. Liu; X. Hu,2025,10.1109/TCE.2025.3624764,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11215793
IEEE Xplore,DF-VLAD: Deepfake Video Detection based on Feature Aggregation,Y. Huang; Z. Luo; M. Zhang; W. Liu; S. Li,2021,10.1109/ITME53901.2021.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750563
IEEE Xplore,A Comparative Analysis of Machine Learning and Deep Learning Approaches in Deepfake Detection,M. Vashistha; S. Jain; S. Pandey; A. Pradhan; S. Tarwani,2024,10.1109/TENSYMP61132.2024.10752209,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752209
IEEE Xplore,Comparative Analysis Of Deep Learning for Robust Deepfake Detection,R. Kapoor; V. Mehndiratta; J. Singh,2024,10.1109/AECE62803.2024.10911049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911049
IEEE Xplore,Detecting Digital Deception: A CNN-RNN hybrid Approach of Deepfake Detection,H. Singh; R. Kumar; M. Gupta; V. S. Babu Chilluri,2025,10.1109/ICPCT64145.2025.10940830,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940830
IEEE Xplore,Enhancing the Detection of Deepfake Audio Using Explainable AI Techniques for Secure and Trustworthy Applications,B. Naresh; R. Ch; K. S. Reddy; S. Srinivas; A. N. Sheikh; K. Raghavendar,2025,10.1109/ICAMIDA64673.2025.11209741,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209741
IEEE Xplore,Hierarchical ST-CEN with Dynamic Attention Mechanisms for Enhanced Deepfake Image Detection,P. GS; A. T,2023,10.1109/ICI3C60830.2023.00078,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10729784
IEEE Xplore,Video Forensic Analysis Using Deep Learning Models,V. T. R.; A. Ajina; H. Dongare; S. Joshi; G. L. S. Varma; R. D. Rathod,2025,10.1109/ETCC65847.2025.11108521,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108521
IEEE Xplore,Enhancing Deepfake Detection Through Dynamics of Facial Expressions,V. K. Sharma; S. Rawat,2025,10.1109/ICICV64824.2025.11085942,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11085942
IEEE Xplore,Artifacts-Disentangled Adversarial Learning for Deepfake Detection,X. Li; R. Ni; P. Yang; Z. Fu; Y. Zhao,2023,10.1109/TCSVT.2022.3217950,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931753
IEEE Xplore,DFFMD: A Deepfake Face Mask Dataset for Infectious Disease Era With Deepfake Detection Algorithms,N. M. Alnaim; Z. M. Almutairi; M. S. Alsuwat; H. H. Alalawi; A. Alshobaili; F. S. Alenezi,2023,10.1109/ACCESS.2023.3246661,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049065
IEEE Xplore,"Deepfake Video Detection Based on Spatial, Spectral, and Temporal Inconsistencies Using Multimodal Deep Learning",J. K. Lewis; I. E. Toubal; H. Chen; V. Sandesera; M. Lomnitz; Z. Hampel-Arias; C. Prasad; K. Palaniappan,2020,10.1109/AIPR50011.2020.9425167,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425167
IEEE Xplore,MSVT: Multiple Spatiotemporal Views Transformer for DeepFake Video Detection,Y. Yu; R. Ni; Y. Zhao; S. Yang; F. Xia; N. Jiang; G. Zhao,2023,10.1109/TCSVT.2023.3281448,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138555
IEEE Xplore,Deepfakes Detection Methods: A Literature Survey,M. Weerawardana; T. Fernando,2021,10.1109/ICIAfS52090.2021.9606067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9606067
IEEE Xplore,MCL: Multimodal Contrastive Learning for Deepfake Detection,X. Liu; Y. Yu; X. Li; Y. Zhao,2024,10.1109/TCSVT.2023.3312738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10243082
IEEE Xplore,Generalizable Deepfake Detection With Phase-Based Motion Analysis,E. Prashnani; M. Goebel; B. S. Manjunath,2025,10.1109/TIP.2024.3441821,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685029
IEEE Xplore,Deepfake Video Prediction Using Attention-Based CNN and Mel-Frequency Cepstral Coefficients,G. S; S. G. A; J. D; A. J,2024,10.1109/ICEEICT61591.2024.10718393,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718393
IEEE Xplore,WaterLo: Protect Images from Deepfakes Using Localized Semi-Fragile Watermark,N. Beuve; W. Hamidouche; O. Déforges,2023,10.1109/ICCVW60793.2023.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350953
