source,title,authors,year,doi,url
Scopus,An Investigation into the Utilisation of CNN with LSTM for Video Deepfake Detection,"Tipper, S.; Atlam, H.F.; Lallie, H.S.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484692&partnerID=40&md5=3fe5e640b835c306a8b32900a43cb320,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208484692&partnerID=40&md5=3fe5e640b835c306a8b32900a43cb320
Scopus,SFormer: An end-to-end spatio-temporal transformer architecture for deepfake detection,"Kingra, S.; Aggarwal, N.; Kaur, N.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202157768&partnerID=40&md5=d569627607c1ddc9a4ccbcc20e813f63,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202157768&partnerID=40&md5=d569627607c1ddc9a4ccbcc20e813f63
Scopus,Spatiotemporal Fusion for Deepfakes Detection in Face Videos,"Wang, G.; Cai, M.; Sun, Z.; Hu, W.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215533400&partnerID=40&md5=45c15f138103b4205538808e44159573,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215533400&partnerID=40&md5=45c15f138103b4205538808e44159573
Scopus,Research and Performance Evaluation of Deepfake Video Detection Method Integrated Spatio temporal Attention Mechanism,"Wang, R.; Mariano, V.Y.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217360906&partnerID=40&md5=d167b4e9186c86771e36c0c416131993,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217360906&partnerID=40&md5=d167b4e9186c86771e36c0c416131993
Scopus,Deepfake Detection Method Based on Spatio-Temporal Information Fusion,"Wang, X.; Song, W.; Hao, C.; Liu, F.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003321518&partnerID=40&md5=73f1d21f2ea03ed858e54e5642096667,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003321518&partnerID=40&md5=73f1d21f2ea03ed858e54e5642096667
Scopus,WaveConViT: Wavelet-Based Convolutional Vision Transformer for Cross-Manipulation Deepfake Video Detection,"Atamna, M.; Tkachenko, I.; Miguet, S.",2025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004252373&partnerID=40&md5=b1262851d3a0da2b388d4c177e9705d4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004252373&partnerID=40&md5=b1262851d3a0da2b388d4c177e9705d4
Scopus,Fake news or real? Detecting deepfake videos using geometric facial structure and graph neural network,"Saif, S.; Tehseen, S.; Ali, S.S.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195171350&partnerID=40&md5=e7b132d9029fd6ad387c7ed6a02b087b,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195171350&partnerID=40&md5=e7b132d9029fd6ad387c7ed6a02b087b
Scopus,Masked Conditional Diffusion Model for Enhancing Deepfake Detection,"Chen, T.; Yang, S.; Hu, S.; Fang, Z.; Fu, Y.; Wu, X.; Wang, X.",2024,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188605005&partnerID=40&md5=fc750cb056a49708d96b4e544adbb36c,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188605005&partnerID=40&md5=fc750cb056a49708d96b4e544adbb36c
Scopus,Capturing the Persistence of Facial Expression Features for Deepfake Video Detection,"Zhao, Y.; Ge, W.; Li, W.; Wang, R.; Zhao, L.; Ming, J.",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081173102&partnerID=40&md5=1f8c95fa77c0da45c34b2cb2547bf2ff,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081173102&partnerID=40&md5=1f8c95fa77c0da45c34b2cb2547bf2ff
Scopus,Deepfake Video Detection Model Based on Consistency of Spatial-Temporal Features; 基于时空特征一致性的Deepfake视频检测模型,"Zhao, L.; Ge, W.; Mao, Y.; Han, M.; Li, W.; Li, X.",2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088657032&partnerID=40&md5=8c0156d45d7ed5a1882211b167b01b1d,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088657032&partnerID=40&md5=8c0156d45d7ed5a1882211b167b01b1d
