Title,Sources,From_Scopus,From_IEEE_Xplore,From_ScienceDirect
SiamNet: Exploiting source camera noise discrepancies using Siamese Network for Deepfake Detection,Scopus,1,0,0
Space–Frequency and Global–Local Attentive Networks for Sequential Deepfake Detection,IEEE Xplore,0,1,0
Spatial-Temporal Frequency Forgery Clue for Video Forgery Detection in VIS and NIR Scenario,IEEE Xplore,0,1,0
Spatial-frequency feature fusion based deepfake detection through knowledge distillation,Scopus,1,0,0
Spatiotemporal Deepfake Video Detection: A Hybrid CNN-Transformer Approach with Frequency Analysis,IEEE Xplore,0,1,0
SpecXNet: A Dual-Domain Convolutional Network for Robust Deepfake Detection,Scopus,1,0,0
SpectralFusionNet: Adaptive Frequency-Spatial Feature Fusion for Robust Deepfake Detection,"IEEE Xplore, Scopus",1,1,0
SwinGAN: A Synergistic Approach Combining Swin Transformers and GANs for DeepFake Detection,IEEE Xplore,0,1,0
Synthetic Voice Detection and Audio Splicing Detection using SE-Res2Net-Conformer Architecture,IEEE Xplore,0,1,0
The Growing Need for Deepfakes Detection in the Age of AI-Generated Media,IEEE Xplore,0,1,0
Trinity Detector: Text-Assisted and Attention Mechanisms Based Spectral Fusion for Diffusion Generation Image Detection,IEEE Xplore,0,1,0
UniForensics: Face Forgery Detection via General Facial Representation,IEEE Xplore,0,1,0
Unlocking A New Paradigm In Robustness For Multi-Step Facial Forgery Detection,IEEE Xplore,0,1,0
"Unmasking Deepfakes: A Review of Current Datasets, Tools, and Detection Features",ScienceDirect,0,0,1
Unmasking deepfakes: A systematic review of deepfake detection and generation techniques using artificial intelligence,ScienceDirect,0,0,1
"Unmasking digital deceptions: An integrative review of deepfake detection, multimedia forensics, and cybersecurity challenges",ScienceDirect,0,0,1
Unsupervised Learning-Based Framework for Deepfake Video Detection,IEEE Xplore,0,1,0
"Unveiling cybersecurity mysteries: A comprehensive survey on digital forensics trends, threats, and solutions in network security",ScienceDirect,0,0,1
VCF: A Real-World Video Conference Deepfake Benchmark for Face-Swap Detection and Robustness Evaluation,Scopus,1,0,0
ViT-Xplain: A Transparent Deepfake Detector for Consumer Electronics Based on Attention and Explainable AI,IEEE Xplore,0,1,0
"Visual Deepfake Detection: Review of Techniques, Tools, Limitations, and Future Prospects",IEEE Xplore,0,1,0
Voices of Deception - Detecting AI-Synthesized Speech Using Spectrotemporal Features and Hybrid Learning Models,IEEE Xplore,0,1,0
WaViT-CDC: Wavelet Vision Transformer With Central Difference Convolutions for Spatial-Frequency Deepfake Detection,IEEE Xplore,0,1,0
WaveDIF: Wavelet Sub-Band based Deepfake Identification in Frequency Domain,"IEEE Xplore, Scopus",1,1,0
WaveGuard: Robust Deepfake Detection and Source Tracing via Dual-Tree Complex Wavelet and Graph Neural Networks,"IEEE Xplore, Scopus",1,1,0
Wavelet-based GAN Fingerprint Detection using ResNet50,IEEE Xplore,0,1,0
What Does an Audio Deepfake Detector Focus on? A Study in the Time Domain,IEEE Xplore,0,1,0
Within 3DMM Space: Exploring Inherent 3D Artifact for Video Forgery Detection,IEEE Xplore,0,1,0
